"Plant_I.D." "Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily"
"1" 3 8505038000 0.04757987 70.9840547945205 941285.054794521 0.002370676 82989471600000 0.0484415298618904 0.816387273920548 2.00958982224658e-08
"2" 8 7052240000 0.07414713 63.2537808219178 887208.739726027 0.0028172452 7.0976603e+13 0.146236088512701 0 3.13114703309589e-08
"3" 470 3512995000 0.01358468 44.3494794520548 458298.942465753 0.0006285048 36074057800000 0.0452491641189863 0.00854086273150685 6.24055228684932e-09
"4" 602 2599547000 0.01388034 21.5857808219178 606312.917808219 0.000661584 2.5931358e+13 0.226773621197507 0 5.82053078630137e-09
"5" 641 4424840000 0.09967058 53.4544657534247 702046.534246575 0.0012184172 45106152400000 0.0591368689972603 0.380027482191781 4.2132682629863e-08
"6" 708 4869227000 0.0621012 61.863397260274 493764.515068493 0.0017035788 51201935600000 0.0553126668164384 0 2.62228196424658e-08
"7" 709 11243293000 0.097124 124.100904109589 815637.254794521 0.0025856908 103124667200000 0.0403126215780822 0 4.09952739452055e-08
"8" 728 6697031000 0.12644462 60.288 783764.183561644 0.0025029928 67263177200000 0.0707814634684931 0 5.34126337865753e-08
"9" 856 2990250000 0.01943206 34.2950136986301 507789.224657534 0.0008324932 29749987800000 0.0272811670339562 0 8.22145657808219e-09
"10" 861 3815905000 0.1370591 88.7657260273973 603929.443835616 0.0016649864 41129297400000 0.0377076991536 0 5.79258234641096e-08
"11" 862 461680200 0.01153393 6.68016438356164 240198.789041096 0.0005733728 5.135544e+12 0.0162449174729589 0 4.87659647753425e-09
"12" 863 841671100 0.02025306 12.0955342465753 183184.093150685 0.0005127276 8845849600000 0.015206444242126 0 8.55446439123288e-09
"13" 864 1361606400 0.03179951 13.1970684931507 362035.473972603 0.0008104404 14090090200000 0.103368370424795 0 1.34278732306849e-08
"14" 876 4916216000 0.16954006 122.241671232877 727896.268493151 0.0018800012 55634146400000 0 0.0683047409424657 7.16940111846575e-08
"15" 879 6156632000 0.03543525 84.4634246575342 1540254.92876712 0.0023761892 68496016200000 0 0.0711397315068493 1.63017577972603e-08
"16" 887 6250211000 0.10560524 57.6233150684931 998722.306849315 0.0019792388 6.5205536e+13 0.0231957118170247 0 4.46183417835616e-08
"17" 889 10712766800 0.26474581 183.321835616438 949029.953424658 0.0014554848 106663415200000 0.0788446622465753 0 1.11965458435068e-07
"18" 983 9776515000 0.26009981 181.718493150685 937197.249315068 0.0021611744 95854718400000 0.0110072274410959 0 1.10002917187397e-07
"19" 988 3493243000 0.06467499 57.9438356164384 900968.235616438 0.0018083296 34939323400000 0.175761229265655 0 2.72807300786301e-08
"20" 991 699555000 0.01518883 7.2881095890411 305211.126027397 0.0005292672 8.049438e+12 0.099702414 0 6.40296124273973e-09
"21" 994 6713205000 0.08364098 56.7236164383562 969472.879452055 0.001543696 69308617200000 0.113360278931507 0 5.61345956827397e-08
