"Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily" "CAA"
"1" 85 401652.962205 14426.1905753425 4727.87161643836 107042.101395552 20115 3282.94445438168 8.64157945226578 2.63686689389589 0
"2" 86 399397.361977 14200.2380821918 4704.08293150685 108775.134806755 20135 3286.17419144747 7.45604568686362 3.10808419054521 0
"3" 87 396903.889308 13935.4451780822 4597.89619178082 109761.534046337 20146 3241.98867952785 7.49603818157696 3.80237143666849 0
"4" 88 407311.300744 14047.0837534247 4769.21082191781 110180.161526173 19893 3334.44344416466 7.49285971313316 3.21482847444658 0
"5" 89 421707.94434 15019.2670410959 4982.99556164384 112180.02636307 19777 3451.89036906053 7.41026346807945 3.86525606876712 0
"6" 90 419768.50822 14880.5189863014 4837.72230136986 112986.438028472 19432 3421.86873657383 6.99178998366597 5.12446705421918 92
"7" 91 407427.4751 14454.004 4649.42876712329 116103.050889704 19247 3338.67719328335 7.76354595664902 5.52388204028219 92
"8" 92 416158.07862 14550.7870684932 4636.81484931507 117369.737406891 18670 3377.10595495974 6.43305917652283 5.35754827489315 92
"9" 93 422846.645492 13908.9281917808 4642.26852054795 118482.686106362 18513 3432.33945754719 7.1887402269251 5.45182793037534 92
"10" 94 414403.166714 13402.3907945205 4330.12964383562 120526.734362819 17876 3370.80660672861 8.05108380674272 5.72143771702192 92
"11" 95 431160.285525 10270.0198630137 4409.45131506849 121731.463477692 17040 3467.17344765505 6.75993602790217 5.65172439333699 92
