"Plant_I.D." "Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily" "CAA"
"1" 3 85 8505.038 130.355808219178 70.9840547945205 1894.164858894 430 66.6348614844164 0.0484415298618904 0.816387273920548 0
"2" 8 85 7052.24 203.142821917808 63.2537808219178 1785.346116708 511 56.9893507978356 0.146236088512701 0 0
"3" 470 85 3512.995 37.218301369863 44.3494794520548 922.2432113048 114 28.9649975875233 0.0452491641189863 0.00854086273150685 0
"4" 602 85 2599.547 38.0283287671233 21.5857808219178 1220.094398138 120 20.821104353589 0.226773621197507 0 0
"5" 641 85 4424.84 273.070082191781 53.4544657534247 1412.740877702 221 36.2171509147068 0.0591368689972603 0.380027482191781 0
"6" 708 85 4869.227 170.140273972603 61.863397260274 993.6112214336 309 41.1116473049096 0.0553126668164384 0 0
"7" 709 85 11243.293 266.093150684932 124.100904109589 1641.3215292936 469 82.8020444282301 0.0403126215780822 0 0
"8" 728 85 6697.031 346.423616438356 60.288 1577.1827743364 454 54.0077242246685 0.0707814634684931 0 0
"9" 856 85 2990.25 53.2385205479452 34.2950136986301 1021.8333969844 151 23.8872025330027 0.0272811670339562 0 0
"10" 861 85 3815.905 375.504383561644 88.7657260273973 1215.2980905604 302 33.0240087370356 0.0377076991536 0 0
"11" 862 85 461.6802 31.5998082191781 6.68016438356164 483.3563467656 104 4.12349008241096 0.0162449174729589 0 0
"12" 863 85 841.6711 55.4878356164384 12.0955342465753 368.6246479608 93 7.10261134869041 0.015206444242126 0 0
"13" 864 85 1361.6064 87.1219452054794 13.1970684931507 728.5305009136 147 11.3133773559288 0.103368370424795 0 0
"14" 876 85 4916.216 464.493315068493 122.241671232877 1464.7587632216 341 44.6704090012274 0 0.0683047409424657 0
"15" 879 85 6156.632 97.0828767123288 84.4634246575342 3099.4827177468 431 54.9976095006411 0 0.0711397315068493 0
"16" 887 85 6250.211 289.329424657534 57.6233150684931 2009.7468750744 359 52.3555792753973 0.0231957118170247 0 0
"17" 889 85 10712.7668 725.33098630137 183.321835616438 1909.7500578156 264 85.6434166922301 0.0788446622465753 0 0
"18" 983 85 9776.515 712.602219178082 181.718493150685 1885.9388943472 392 76.9647734835288 0.0110072274410959 0 0
"19" 988 85 3493.243 177.191753424658 57.9438356164384 1813.0345979592 328 28.0538835858575 0.175761229265655 0 0
"20" 991 85 699.555 41.6132328767123 7.2881095890411 614.1818427052 96 6.46314738263014 0.099702414 0 0
"21" 994 85 6713.205 229.153369863014 56.7236164383562 1950.8877258332 280 55.6500724460384 0.113360278931507 0 0
"22" 1004 85 241.56 21.0516438356164 4.3347397260274 360.4331243744 71 2.49923576196164 0.0235623462410959 0 0
"23" 1008 85 2229.338 166.881506849315 30.1081095890411 792.0881094588 161 18.5901797168548 0.0748450998246575 0 0
"24" 1012 85 2123.22011 166.630082191781 31.5608493150685 550.984769874 87 17.8913580756329 0.00466390795068493 0.0127878083506849 0
"25" 1047 85 1123.42208 16.3694520547945 21.7485479452055 519.8846322516 52 9.94739269928219 0.039186269260274 0 0
"26" 1250 85 1386.226 11.6082739726027 15.8404109589041 630.8283491664 137 13.2699470413973 0 0.366190162068493 0
"27" 1355 85 3166.277 148.238246575342 30.9098356164384 708.0360951048 132 27.4264643953315 0.0448058905249315 0 0
"28" 1356 85 6493.437 250.794931506849 64.7006301369863 2164.5355609724 228 55.9467559589918 0.220762356440548 0 0
"29" 1357 85 1040.65 57.7382465753425 15.9271232876712 398.7137804804 103 9.85657440123288 0.0093345605260274 0 0
"30" 1364 85 6191.186 130.929753424658 68.9537534246575 1838.2238133336 472 50.7360047609425 0.147774726246575 0.136371894452055 0
"31" 1570 85 407.195 8.95608219178082 4.012 323.7595440156 65 3.60276089761644 0.0280542662630137 0 0
"32" 1606 85 1037.372 26.8045753424658 11.4767397260274 209.3233968364 69 8.48312103629589 0.0120626802645041 0 0
"33" 1695 85 1189.344 22.6825205479452 10.8117808219178 830.0151048112 196 9.99457166993425 0.0398438701643836 0 0
"34" 1745 85 3593.934 59.9139726027397 29.7809315068493 1973.441725332 327 29.752582022137 0.231207641989052 0 0
"35" 1943 85 361.3283 11.6388493150685 5.18419178082192 242.0405394792 38 3.55903244482192 0.00421876272328767 0 0
"36" 2080 85 2030.40136 241.63602739726 23.1507945205479 573.750895256 157 17.548443854137 0.0467551207740822 0 0
"37" 2103 85 12388.384 718.440082191781 113.697917808219 2951.667022458 504 99.784615879463 0.274894039479452 0 0
"38" 2107 85 2319.2 150.523534246575 53.5938082191781 1109.6815803304 275 19.982680062411 0.0545168011068493 0 0
"39" 2526 85 863.1617 40.87 9.55624657534247 439.7256868928 79 7.83633080199452 0.0266277781479452 0 0
"40" 2527 85 1133.814055 54.6552876712329 12.8321917808219 435.3187656048 97 10.0733180533644 0.045441908630137 0 0
"41" 2535 85 1732.8891 66.3059452054794 14.4161917808219 489.7222127644 85 13.1641314280767 0.0130708397798137 0 0
"42" 2549 85 4073.624 133.916164383562 52.4561643835616 1954.0166653084 304 34.6735727432712 0 0 0
"43" 2554 85 3334.655 139.758273972603 28.0109589041096 1106.0380277408 210 27.6049367989479 0 0 0
"44" 2642 85 1428.566 66.2106301369863 11.7336438356164 493.7332973188 134 11.8982774690959 0.037230328109589 0 0
"45" 2706 85 2122.128 38.0304657534247 23.4774794520548 398.4926846208 105 16.5624640370137 0.0334289902063562 0 0
"46" 2718 85 2277.912 41.2151232876712 18.1642465753425 1059.4568300316 152 17.6482583573753 0.13223414655429 0 0
"47" 2721 85 2099.873 39.636904109589 16.5001369863014 855.0782553544 146 16.4005427817205 0.0699475479588986 0 0
"48" 2727 85 9168.595 160.771287671233 68.1642739726027 1623.444052076 189 66.4487883705699 0.182946291402575 0 0
"49" 2790 85 449.1829 14.2532876712329 3.39498630136986 189.2629019204 57 4.74776499315616 0 0 0
